,game,player,color,move,turn,timestamp
1474,21,Alfons2357,Black,Bxe5,20,0:05:37
1475,21,pedro_verdadeiro,White,dxe5,21,0:01:36
1476,21,Alfons2357,Black,Nh5,22,0:05:42
1477,21,pedro_verdadeiro,White,Qxh5,23,0:01:39
1478,21,Alfons2357,Black,O-O,24,0:05:44
1479,21,pedro_verdadeiro,White,Rfe1,25,0:01:40
1480,21,Alfons2357,Black,Nb6,26,0:05:46
1481,21,pedro_verdadeiro,White,Bd3,27,0:01:41
1482,21,Alfons2357,Black,Be4,28,0:06:00
1483,21,pedro_verdadeiro,White,Nxe4,29,0:02:17
1484,21,Alfons2357,Black,dxe4,30,0:06:03
1485,21,pedro_verdadeiro,White,Bxe4,31,0:02:31
1486,21,Alfons2357,Black,f5,32,0:06:20
1487,21,pedro_verdadeiro,White,Bxb7,33,0:03:03
1488,21,Alfons2357,Black,Qxd2,34,0:06:23
1489,21,pedro_verdadeiro,White,Bxa8,35,0:03:22
1490,21,Alfons2357,Black,Rxa8,36,0:06:39
1491,21,pedro_verdadeiro,White,Red1,37,0:04:02
1492,21,Alfons2357,Black,Qxc2,38,0:06:43
1493,21,pedro_verdadeiro,White,Rd6,39,0:04:27
1494,21,Alfons2357,Black,Qxb2,40,0:07:09
1495,21,pedro_verdadeiro,White,Rxe6,41,0:04:33
1496,21,Alfons2357,Black,Qxa1+,42,0:07:15
1497,21,pedro_verdadeiro,White,Kh2,43,0:05:24
1498,21,Alfons2357,Black,Rf8,44,0:07:41
1499,21,pedro_verdadeiro,White,Re8,45,0:05:56
1500,21,Alfons2357,Black,Nc8,46,0:07:50
1501,21,pedro_verdadeiro,White,e6,47,0:06:06
1502,21,Alfons2357,Black,Nd6,48,0:08:12
1503,21,pedro_verdadeiro,White,Rxf8+,49,0:06:39
1504,21,Alfons2357,Black,Kxf8,50,0:08:22
1505,21,pedro_verdadeiro,White,Qxh7,51,0:07:26
1506,21,Alfons2357,Black,Qe5+,52,0:08:24
1507,21,pedro_verdadeiro,White,f4,53,0:07:45
1508,21,Alfons2357,Black,Qxe6,54,0:08:42
1509,21,pedro_verdadeiro,White,Qh8+,55,0:08:00
1510,21,Alfons2357,Black,Qg8,56,0:08:45
1511,21,pedro_verdadeiro,White,Qxg8+,57,0:08:01
1512,21,Alfons2357,Black,Kxg8,58,0:08:47
1513,21,pedro_verdadeiro,White,g4,59,0:08:36
1514,21,Alfons2357,Black,c4,60,0:08:58
1515,21,pedro_verdadeiro,White,Kg2,61,0:08:48
1516,21,Alfons2357,Black,c3,62,0:09:25
1517,21,pedro_verdadeiro,White,Kf1,63,0:08:49
1518,21,Alfons2357,Black,c2,64,0:09:30
1519,21,pedro_verdadeiro,White,Ke2,65,0:08:51
1520,21,Alfons2357,Black,c1=Q,66,0:09:32
1521,21,pedro_verdadeiro,White,Kf3,67,0:09:19
1522,21,Alfons2357,Black,Qc6+,68,0:09:38
1523,21,pedro_verdadeiro,White,Kg3,69,0:09:21
1524,21,Alfons2357,Black,g6,70,0:09:46
1525,21,pedro_verdadeiro,White,a3,71,0:09:24
1526,21,Alfons2357,Black,Kg7,72,0:09:48
1527,21,pedro_verdadeiro,White,a4,73,0:09:26
1528,21,Alfons2357,Black,Ne4+,74,0:09:50
1529,21,pedro_verdadeiro,White,Kf3,75,0:09:37
1530,21,Alfons2357,Black,Qxa4,76,0:09:59
1531,21,pedro_verdadeiro,White,h4,77,0:09:53
1532,21,Alfons2357,Black,Qd1+,78,0:10:00
1533,21,pedro_verdadeiro,White,Kg2,79,0:07:32
1534,21,Alfons2357,Black,Qxg4+,80,0:07:15
1535,21,pedro_verdadeiro,White,Kh2,81,0:07:34
1536,21,Alfons2357,Black,Nf2,82,0:07:21
1537,21,pedro_verdadeiro,White,h5,83,0:07:48
1538,21,Alfons2357,Black,gxh5,84,0:07:30
1539,21,pedro_verdadeiro,White,e4,85,0:07:50
1540,21,Alfons2357,Black,Nd1,86,0:07:39
1541,21,pedro_verdadeiro,White,e5,87,0:07:53
1542,21,Alfons2357,Black,Kf7,88,0:07:42
1543,21,pedro_verdadeiro,White,e6+,89,0:08:21
1544,21,Alfons2357,Black,Kxe6,90,0:07:48
1545,21,pedro_verdadeiro,White,Kh1,91,0:08:47
1546,21,Alfons2357,Black,Ne3,92,0:08:01
1547,21,pedro_verdadeiro,White,Kh2,93,0:08:57
1548,21,Alfons2357,Black,Qg2#,94,0:08:33
1549,22,elad2222,White,d4,1,0:09:03
1550,22,Alfons2357,Black,c6,2,0:08:36
1551,22,elad2222,White,c4,3,0:09:06
1552,22,Alfons2357,Black,Nf6,4,0:08:52
1553,22,elad2222,White,Bg5,5,0:09:12
1554,22,Alfons2357,Black,Ne4,6,0:09:05
1555,22,elad2222,White,Nf3,7,0:09:18
1556,22,Alfons2357,Black,Nxg5,8,0:09:10
1557,22,elad2222,White,Nxg5,9,0:09:24
1558,22,Alfons2357,Black,e5,10,0:09:21
1559,22,elad2222,White,e3,11,0:09:44
1560,22,Alfons2357,Black,Qxg5,12,0:09:44
1561,22,elad2222,White,d5,13,0:09:50
1562,22,Alfons2357,Black,Bb4+,14,0:09:50
1563,22,elad2222,White,Nc3,15,0:09:55
1564,22,Alfons2357,Black,cxd5,16,0:09:59
1565,22,elad2222,White,Qxd5,17,0:09:58
1566,22,Alfons2357,Black,O-O,18,0:10:00
1567,22,elad2222,White,Bd3,19,0:07:34
1568,22,Alfons2357,Black,d6,20,0:04:49
1569,22,elad2222,White,h4,21,0:07:39
1570,22,Alfons2357,Black,Qh5,22,0:04:50
1571,22,elad2222,White,Be2,23,0:07:41
1572,22,Alfons2357,Black,Qf5,24,0:04:57
1573,22,elad2222,White,g4,25,0:07:45
1574,22,Alfons2357,Black,Qxf2+,26,0:05:00
1575,22,elad2222,White,Kxf2,27,0:07:47
1576,22,Alfons2357,Black,Na6,28,0:05:02
1577,22,elad2222,White,Nb5,29,0:07:52
1578,22,Alfons2357,Black,Be6,30,0:05:30
1579,22,elad2222,White,Qxb7,31,0:08:27
1580,22,Alfons2357,Black,Nc5,32,0:05:31
1581,22,elad2222,White,Qc7,33,0:08:33
1582,22,Alfons2357,Black,Ne4+,34,0:06:15
1583,22,elad2222,White,Kg2,35,0:08:33
1584,22,Alfons2357,Black,Rfc8,36,0:06:19
1585,22,elad2222,White,Qe7,37,0:08:41
1586,22,Alfons2357,Black,Re8,38,0:06:30
1587,22,elad2222,White,Qc7,39,0:08:46
1588,22,Alfons2357,Black,Red8,40,0:06:46
1589,22,elad2222,White,Rad1,41,0:09:02
1590,22,Alfons2357,Black,Rd7,42,0:07:15
1591,22,elad2222,White,c5,43,0:09:10
1592,22,Alfons2357,Black,Rxc7,44,0:07:29
1593,22,elad2222,White,Nxc7,45,0:09:12
1594,22,Alfons2357,Black,Rd8,46,0:07:38
1595,22,elad2222,White,Nxe6,47,0:09:21
1596,22,Alfons2357,Black,fxe6,48,0:07:48
1597,22,elad2222,White,Bc4,49,0:09:24
1598,22,Alfons2357,Black,Kf7,50,0:07:49
1599,22,elad2222,White,Rhf1+,51,0:09:25
1600,22,Alfons2357,Black,Ke7,52,0:07:51
1601,22,elad2222,White,g5,53,0:09:26
1602,22,Alfons2357,Black,Bxc5,54,0:07:56
1603,22,elad2222,White,a3,55,0:09:32
1604,22,Alfons2357,Black,d5,56,0:08:13
1605,22,elad2222,White,Bb5,57,0:09:34
1606,22,Alfons2357,Black,Rd6,58,0:08:13
1607,22,elad2222,White,Rc1,59,0:09:38
1608,22,Alfons2357,Black,Bb6,60,0:08:42
1609,22,elad2222,White,Rc8,61,0:09:44
1610,22,Alfons2357,Black,g6,62,0:08:45
1611,22,elad2222,White,Rff8,63,0:09:47
1612,22,Alfons2357,Black,d4,64,0:09:16
1613,22,elad2222,White,Rce8#,65,0:09:54
1614,23,KiwiHunter,White,d4,1,0:09:42
1615,23,Alfons2357,Black,c6,2,0:09:57
1616,23,KiwiHunter,White,Bf4,3,0:09:55
1617,23,Alfons2357,Black,d5,4,0:09:59
1618,23,KiwiHunter,White,c4,5,0:09:56
1619,23,Alfons2357,Black,Nf6,6,0:10:00
1620,23,KiwiHunter,White,e3,7,0:10:00
1621,23,Alfons2357,Black,dxc4,8,0:05:29
1622,23,KiwiHunter,White,Bxc4,9,0:05:57
1623,23,Alfons2357,Black,e6,10,0:05:36
1624,23,KiwiHunter,White,Nf3,11,0:06:00
1625,23,Alfons2357,Black,Nbd7,12,0:05:40
1626,23,KiwiHunter,White,O-O,13,0:06:01
1627,23,Alfons2357,Black,b5,14,0:05:41
1628,23,KiwiHunter,White,Nc3,15,0:06:02
1629,23,Alfons2357,Black,bxc4,16,0:05:42
1630,23,KiwiHunter,White,Rc1,17,0:06:03
1631,23,Alfons2357,Black,Bb7,18,0:05:45
1632,23,KiwiHunter,White,Qa4,19,0:06:03
1633,23,Alfons2357,Black,c5,20,0:05:47
1634,23,KiwiHunter,White,Ne5,21,0:06:15
1635,23,Alfons2357,Black,cxd4,22,0:06:03
1636,23,KiwiHunter,White,exd4,23,0:06:16
1637,23,Alfons2357,Black,Bd6,24,0:06:06
1638,23,KiwiHunter,White,Rfe1,25,0:06:17
1639,23,Alfons2357,Black,O-O,26,0:06:18
1640,23,KiwiHunter,White,d5,27,0:06:21
1641,23,Alfons2357,Black,Bb8,28,0:06:20
1642,23,KiwiHunter,White,dxe6,29,0:06:31
1643,23,Alfons2357,Black,Nc5,30,0:06:29
1644,23,KiwiHunter,White,Qc2,31,0:06:50
1645,23,Alfons2357,Black,Nxe6,32,0:06:56
1646,23,KiwiHunter,White,Rcd1,33,0:06:55
1647,23,Alfons2357,Black,Qa5,34,0:07:00
1648,23,KiwiHunter,White,Nd7,35,0:06:58
1649,23,Alfons2357,Black,Nxd7,36,0:07:08
1650,23,KiwiHunter,White,Rxd7,37,0:06:58
1651,23,Alfons2357,Black,Nc5,38,0:07:10
1652,23,KiwiHunter,White,Rxf7,39,0:07:00
1653,23,Alfons2357,Black,Bxf4,40,0:07:14
1654,23,KiwiHunter,White,Rxg7+,41,0:07:03
1655,23,Alfons2357,Black,Kxg7,42,0:07:17
1656,23,KiwiHunter,White,Re7+,43,0:07:07
1657,23,Alfons2357,Black,Rf7,44,0:07:22
1658,23,KiwiHunter,White,Rxf7+,45,0:07:12
1659,23,Alfons2357,Black,Kxf7,46,0:07:30
1660,23,KiwiHunter,White,Qxh7+,47,0:07:21
1661,23,Alfons2357,Black,Ke6,48,0:07:31
1662,23,KiwiHunter,White,Qxb7,49,0:07:27
1663,23,Alfons2357,Black,Nxb7,50,0:07:37
1664,24,Alfons2357,White,e4,1,0:08:08
