;game;color;move;turn;timestamp
738;10;black;Bxc5;6;0:09:23
739;10;white;Bg2;7;0:09:21
740;10;black;Nf6;8;0:09:22
741;10;white;e3;9;0:09:17
742;10;black;Nc6;10;0:08:55
743;10;white;Ne2;11;0:09:08
744;10;black;e4;12;0:08:49
745;10;white;d3;13;0:08:48
746;10;black;Bg4;14;0:08:33
747;10;white;d4;15;0:08:30
748;10;black;Bd6;16;0:07:55
749;10;white;O-O;17;0:08:16
750;10;black;Bf3;18;0:07:38
751;10;white;Nbc3;19;0:08:04
752;10;black;Qd7;20;0:06:47
753;10;white;a3;21;0:07:56
754;10;black;Qe6;22;0:05:27
755;10;white;b4;23;0:07:29
756;10;black;a6;24;0:05:06
757;10;white;Bxf3;25;0:06:56
758;10;black;exf3;26;0:05:01
759;10;white;Nf4;27;0:06:49
760;10;black;Bxf4;28;0:04:59
761;10;white;exf4;29;0:06:38
762;10;black;Qh3;30;0:04:57
763;10;white;Qxf3;31;0:06:09
764;10;black;Nxd4;32;0:04:56
765;10;white;Qe3+;33;0:05:51
766;10;black;Kd7;34;0:04:40
767;10;white;Qxd4;35;0:05:48
768;10;black;c6;36;0:04:29
769;10;white;Bb2;37;0:05:08
770;10;black;Ng4;38;0:04:27
771;10;white;Rfe1;39;0:03:27
772;10;black;Qxh2+;40;0:03:55
773;10;white;Kf1;41;0:03:15
774;10;black;Rhe8;42;0:03:49
775;10;white;Rxe8;43;0:03:02
776;10;black;Rxe8;44;0:03:46
777;10;white;Re1;45;0:02:52
778;10;black;Qh1#;46;0:03:36
779;11;white;e4;1;0:10:00
780;11;black;c6;2;0:09:59
781;11;white;Nf3;3;0:09:56
782;11;black;d5;4;0:09:58
783;11;white;exd5;5;0:09:54
784;11;black;cxd5;6;0:09:55
785;11;white;Nc3;7;0:09:53
786;11;black;Nc6;8;0:09:50
787;11;white;d4;9;0:09:49
788;11;black;Qb6;10;0:09:43
789;11;white;Nxd5;11;0:09:42
790;11;black;Qa5+;12;0:09:36
791;11;white;Bd2;13;0:09:39
792;11;black;Qxd5;14;0:09:35
793;11;white;c4;15;0:09:32
794;11;black;Qe4+;16;0:09:24
795;11;white;Be2;17;0:09:29
796;11;black;Nxd4;18;0:09:21
797;11;white;Nxd4;19;0:09:24
798;11;black;Qxg2;20;0:09:12
799;11;white;Rf1;21;0:09:14
800;11;black;Qxh2;22;0:08:57
801;11;white;Qa4+;23;0:09:12
802;11;black;Bd7;24;0:08:48
803;11;white;Qb4;25;0:09:09
804;11;black;Bc6;26;0:08:24
805;11;white;Nxc6;27;0:09:02
806;11;black;bxc6;28;0:08:22
807;11;white;Bf3;29;0:08:51
808;11;black;Qe5+;30;0:08:17
809;11;white;Be3;31;0:08:45
810;11;black;e6;32;0:08:16
811;11;white;Bxc6+;33;0:08:41
812;11;black;Kd8;34;0:08:14
813;11;white;Bxa8;35;0:08:39
814;11;black;Bxb4+;36;0:08:13
815;11;white;Ke2;37;0:08:19
816;11;black;Qxb2+;38;0:08:11
817;11;white;Bd2;39;0:08:14
818;11;black;Qxd2+;40;0:08:06
819;11;white;Kf3;41;0:08:13
820;11;black;Nf6;42;0:07:58
821;11;white;Rfd1;43;0:08:11
822;11;black;Qxd1+;44;0:07:57
823;11;white;Rxd1+;45;0:08:10
824;11;black;Ke7;46;0:07:53
825;11;white;Bb7;47;0:07:57
826;11;black;h5;48;0:07:15
827;11;white;a4;49;0:07:52
828;11;black;g5;50;0:07:00
829;11;white;Rb1;51;0:07:50
830;11;black;Bd2;52;0:06:52
831;11;white;c5;53;0:07:47
832;11;black;h4;54;0:06:42
833;11;white;c6;55;0:07:46
834;11;black;Ba5;56;0:06:37
835;11;white;Rc1;57;0:07:38
836;11;black;Bc7;58;0:06:34
837;11;white;a5;59;0:07:35
838;11;black;e5;60;0:06:32
839;11;white;a6;61;0:07:34
840;11;black;g4+;62;0:06:31
841;11;white;Kg2;63;0:07:28
842;11;black;Ke6;64;0:06:30
843;11;white;Bc8+;65;0:07:15
844;11;black;Rxc8;66;0:06:27
845;11;white;f3;67;0:07:11
846;11;black;gxf3+;68;0:06:21
847;11;white;Kxf3;69;0:07:10
848;11;black;Rg8;70;0:06:21
849;11;white;Rh1;71;0:07:09
850;11;black;Rg4;72;0:06:16
851;11;white;Rc1;73;0:06:49
852;11;black;e4+;74;0:06:14
853;12;white;e4;1;0:10:00
854;12;black;e5;2;0:09:59
855;12;white;Nf3;3;0:09:49
856;12;black;Nc6;4;0:09:58
857;12;white;Bc4;5;0:09:49
858;12;black;Bc5;6;0:09:55
859;12;white;O-O;7;0:09:45
860;12;black;Nf6;8;0:09:53
861;12;white;d3;9;0:09:42
862;12;black;O-O;10;0:09:51
863;12;white;Re1;11;0:09:29
864;12;black;d6;12;0:09:49
865;12;white;Be3;13;0:09:28
866;12;black;Bxe3;14;0:09:46
867;12;white;Rxe3;15;0:09:21
868;12;black;Ng4;16;0:09:32
869;12;white;Re2;17;0:09:10
870;12;black;Nd4;18;0:09:26
871;12;white;Nxd4;19;0:09:06
872;12;black;exd4;20;0:09:25
873;12;white;h3;21;0:09:04
874;12;black;Ne5;22;0:09:19
875;12;white;Nd2;23;0:08:33
876;12;black;Nxc4;24;0:09:16
877;12;white;Nxc4;25;0:08:32
878;12;black;Qg5;26;0:09:13
879;12;white;Qd2;27;0:08:22
880;12;black;Qg6;28;0:09:09
