"game";"player";"color";"move";"turn";"timestamp"
15;"Alfons2357";"White";"Nxf7";13;"0:07:57"
15;"Alfons2357";"White";"e5";15;"0:07:58"
15;"Alfons2357";"White";"d5";17;"0:08:06"
15;"Alfons2357";"White";"g3";19;"0:08:11"
16;"Alfons2357";"White";"e4";1;"0:08:17"
16;"Alfons2357";"White";"Nf3";3;"0:08:22"
16;"Alfons2357";"White";"Bc4";5;"0:08:24"
16;"Alfons2357";"White";"O-O";7;"0:08:48"
16;"Alfons2357";"White";"d3";9;"0:08:57"
16;"Alfons2357";"White";"Re1";11;"0:09:12"
16;"Alfons2357";"White";"Be3";13;"0:09:21"
16;"Alfons2357";"White";"Rxe3";15;"0:09:24"
16;"Alfons2357";"White";"Nbd2";17;"0:09:35"
16;"Alfons2357";"White";"Qe1";19;"0:09:36"
17;"Alfons2357";"White";"e4";1;"0:08:30"
17;"Alfons2357";"White";"Nf3";3;"0:08:48"
17;"Alfons2357";"White";"Bc4";5;"0:09:08"
17;"Alfons2357";"White";"d3";7;"0:09:17"
17;"Alfons2357";"White";"O-O";9;"0:09:21"
17;"Alfons2357";"White";"Re1";11;"0:09:23"
17;"Alfons2357";"White";"Be3";13;"0:09:37"
17;"Alfons2357";"White";"Rxe3";15;"0:09:59"
17;"Alfons2357";"White";"h3";17;"0:06:26"
17;"Alfons2357";"White";"Na3";19;"0:06:28"
19;"Alfons2357";"White";"e4";1;"0:09:25"
19;"Alfons2357";"White";"Nf3";3;"0:09:27"
19;"Alfons2357";"White";"Bc4";5;"0:09:37"
19;"Alfons2357";"White";"Nc3";7;"0:09:52"
19;"Alfons2357";"White";"bxc3";9;"0:09:54"
19;"Alfons2357";"White";"Bb3";11;"0:09:56"
19;"Alfons2357";"White";"d4";13;"0:09:58"
19;"Alfons2357";"White";"Ne5";15;"0:01:24"
19;"Alfons2357";"White";"O-O";17;"0:01:26"
19;"Alfons2357";"White";"Nxc6";19;"0:01:27"
20;"Alfons2357";"White";"e4";1;"0:02:58"
20;"Alfons2357";"White";"Nf3";3;"0:03:08"
20;"Alfons2357";"White";"Bc4";5;"0:03:13"
20;"Alfons2357";"White";"d3";7;"0:03:47"
20;"Alfons2357";"White";"c3";9;"0:04:02"
20;"Alfons2357";"White";"O-O";11;"0:04:11"
20;"Alfons2357";"White";"b4";13;"0:04:13"
20;"Alfons2357";"White";"Ba3";15;"0:04:28"
20;"Alfons2357";"White";"b5";17;"0:04:38"
20;"Alfons2357";"White";"Nbd2";19;"0:04:40"
24;"Alfons2357";"White";"e4";1;"0:08:08"
24;"Alfons2357";"White";"Nf3";3;"0:08:42"
24;"Alfons2357";"White";"c3";5;"0:08:51"
24;"Alfons2357";"White";"d3";7;"0:09:45"
24;"Alfons2357";"White";"Bg5";9;"0:09:47"
24;"Alfons2357";"White";"Nbd2";11;"0:09:48"
24;"Alfons2357";"White";"Nb3";13;"0:09:52"
24;"Alfons2357";"White";"Nxc5";15;"0:09:53"
24;"Alfons2357";"White";"Be2";17;"0:09:58"
24;"Alfons2357";"White";"Qb3";19;"0:00:00"
26;"Alfons2357";"White";"e4";1;"0:02:55"
26;"Alfons2357";"White";"Nf3";3;"0:02:55"
26;"Alfons2357";"White";"c3";5;"0:03:00"
26;"Alfons2357";"White";"Qa4";7;"0:00:03"
26;"Alfons2357";"White";"Bb5";9;"0:00:03"
26;"Alfons2357";"White";"d4";11;"0:00:04"
26;"Alfons2357";"White";"d5";13;"0:00:04"
26;"Alfons2357";"White";"dxc6";15;"0:00:04"
26;"Alfons2357";"White";"cxb7+";17;"0:00:06"
28;"Alfons2357";"White";"e4";1;"0:01:22"
28;"Alfons2357";"White";"Nf3";3;"0:01:24"
28;"Alfons2357";"White";"c3";5;"0:01:36"
28;"Alfons2357";"White";"Qa4+";7;"0:01:37"
28;"Alfons2357";"White";"Bb5";9;"0:01:42"
28;"Alfons2357";"White";"d4";11;"0:01:47"
28;"Alfons2357";"White";"d5";13;"0:01:48"
28;"Alfons2357";"White";"dxc6";15;"0:01:49"
28;"Alfons2357";"White";"Bxc6";17;"0:02:07"
28;"Alfons2357";"White";"Qxc6+";19;"0:02:10"
