,game,player,color,move,turn
1461,21,pedro_verdadeiro,White,Bd3,7
1462,21,Alfons2357,Black,Bg4,8
1463,21,pedro_verdadeiro,White,O-O,9
1464,21,Alfons2357,Black,e6,10
1465,21,pedro_verdadeiro,White,h3,11
1466,21,Alfons2357,Black,Bf5,12
1467,21,pedro_verdadeiro,White,Nc3,13
1468,21,Alfons2357,Black,Nbd7,14
1469,21,pedro_verdadeiro,White,Bd2,15
1470,21,Alfons2357,Black,c5,16
1471,21,pedro_verdadeiro,White,Bb5,17
1472,21,Alfons2357,Black,Bd6,18
1473,21,pedro_verdadeiro,White,Ne5,19
1474,21,Alfons2357,Black,Bxe5,20
1475,21,pedro_verdadeiro,White,dxe5,21
1476,21,Alfons2357,Black,Nh5,22
1477,21,pedro_verdadeiro,White,Qxh5,23
1478,21,Alfons2357,Black,O-O,24
1479,21,pedro_verdadeiro,White,Rfe1,25
1480,21,Alfons2357,Black,Nb6,26
1481,21,pedro_verdadeiro,White,Bd3,27
1482,21,Alfons2357,Black,Be4,28
1483,21,pedro_verdadeiro,White,Nxe4,29
1484,21,Alfons2357,Black,dxe4,30
1485,21,pedro_verdadeiro,White,Bxe4,31
1486,21,Alfons2357,Black,f5,32
1487,21,pedro_verdadeiro,White,Bxb7,33
1488,21,Alfons2357,Black,Qxd2,34
1489,21,pedro_verdadeiro,White,Bxa8,35
1490,21,Alfons2357,Black,Rxa8,36
1491,21,pedro_verdadeiro,White,Red1,37
1492,21,Alfons2357,Black,Qxc2,38
1493,21,pedro_verdadeiro,White,Rd6,39
1494,21,Alfons2357,Black,Qxb2,40
1495,21,pedro_verdadeiro,White,Rxe6,41
1496,21,Alfons2357,Black,Qxa1+,42
1497,21,pedro_verdadeiro,White,Kh2,43
1498,21,Alfons2357,Black,Rf8,44
1499,21,pedro_verdadeiro,White,Re8,45
1500,21,Alfons2357,Black,Nc8,46
1501,21,pedro_verdadeiro,White,e6,47
1502,21,Alfons2357,Black,Nd6,48
1503,21,pedro_verdadeiro,White,Rxf8+,49
1504,21,Alfons2357,Black,Kxf8,50
1505,21,pedro_verdadeiro,White,Qxh7,51
1506,21,Alfons2357,Black,Qe5+,52
1507,21,pedro_verdadeiro,White,f4,53
1508,21,Alfons2357,Black,Qxe6,54
1509,21,pedro_verdadeiro,White,Qh8+,55
1510,21,Alfons2357,Black,Qg8,56
1511,21,pedro_verdadeiro,White,Qxg8+,57
1512,21,Alfons2357,Black,Kxg8,58
1513,21,pedro_verdadeiro,White,g4,59
1514,21,Alfons2357,Black,c4,60
1515,21,pedro_verdadeiro,White,Kg2,61
1516,21,Alfons2357,Black,c3,62
1517,21,pedro_verdadeiro,White,Kf1,63
1518,21,Alfons2357,Black,c2,64
1519,21,pedro_verdadeiro,White,Ke2,65
1520,21,Alfons2357,Black,c1=Q,66
