"game";"player";"color";"move";"turn"
78;"Robert James Fischer";"White";"bxc3";11
78;"Robert James Fischer";"White";"Nf3";13
78;"Robert James Fischer";"White";"a4";15
78;"Robert James Fischer";"White";"Bxa6";17
78;"Robert James Fischer";"White";"Qd3";19
79;"Robert James Fischer";"White";"e4";1
79;"Robert James Fischer";"White";"d4";3
79;"Robert James Fischer";"White";"Nc3";5
79;"Robert James Fischer";"White";"Bg5";7
79;"Robert James Fischer";"White";"Nxe4";9
79;"Robert James Fischer";"White";"Bxf6";11
79;"Robert James Fischer";"White";"g3";13
79;"Robert James Fischer";"White";"Nc3";15
79;"Robert James Fischer";"White";"Nge2";17
79;"Robert James Fischer";"White";"d5";19
80;"Robert James Fischer";"White";"e4";1
80;"Robert James Fischer";"White";"Nf3";3
80;"Robert James Fischer";"White";"d4";5
80;"Robert James Fischer";"White";"Nxd4";7
80;"Robert James Fischer";"White";"Nc3";9
80;"Robert James Fischer";"White";"Ndb5";11
80;"Robert James Fischer";"White";"Bg5";13
80;"Robert James Fischer";"White";"Bxf6";15
80;"Robert James Fischer";"White";"Na3";17
80;"Robert James Fischer";"White";"Qh5";19
81;"Robert James Fischer";"White";"e4";1
81;"Robert James Fischer";"White";"Nf3";3
81;"Robert James Fischer";"White";"d4";5
81;"Robert James Fischer";"White";"Nxd4";7
81;"Robert James Fischer";"White";"Bd3";9
81;"Robert James Fischer";"White";"Nxc6";11
81;"Robert James Fischer";"White";"O-O";13
81;"Robert James Fischer";"White";"c4";15
81;"Robert James Fischer";"White";"cxd5";17
81;"Robert James Fischer";"White";"exd5";19
83;"Robert James Fischer";"White";"e4";1
83;"Robert James Fischer";"White";"Nc3";3
83;"Robert James Fischer";"White";"Nf3";5
83;"Robert James Fischer";"White";"h3";7
83;"Robert James Fischer";"White";"Qxf3";9
83;"Robert James Fischer";"White";"d4";11
83;"Robert James Fischer";"White";"Nxe4";13
83;"Robert James Fischer";"White";"Bd3";15
83;"Robert James Fischer";"White";"c3";17
83;"Robert James Fischer";"White";"Qxe4";19
84;"Robert James Fischer";"White";"e4";1
84;"Robert James Fischer";"White";"Nf3";3
84;"Robert James Fischer";"White";"Bb5+";5
84;"Robert James Fischer";"White";"Bxd7+";7
84;"Robert James Fischer";"White";"O-O";9
84;"Robert James Fischer";"White";"c3";11
84;"Robert James Fischer";"White";"Re1";13
