"game";"player";"color";"move";"turn"
63;"Fischer Robert J (USA)";"Black";"c5";2
63;"Fischer Robert J (USA)";"Black";"d5";4
63;"Fischer Robert J (USA)";"Black";"f6";6
63;"Fischer Robert J (USA)";"Black";"d4";8
63;"Fischer Robert J (USA)";"Black";"e5";10
63;"Fischer Robert J (USA)";"Black";"Ne7";12
63;"Fischer Robert J (USA)";"Black";"Nec6";14
63;"Fischer Robert J (USA)";"Black";"Be7";16
63;"Fischer Robert J (USA)";"Black";"O-O";18
63;"Fischer Robert J (USA)";"Black";"a6";20
64;"Fischer Robert J (USA)";"Black";"Nf6";2
64;"Fischer Robert J (USA)";"Black";"e6";4
64;"Fischer Robert J (USA)";"Black";"d5";6
64;"Fischer Robert J (USA)";"Black";"c5";8
64;"Fischer Robert J (USA)";"Black";"Nc6";10
64;"Fischer Robert J (USA)";"Black";"Ne4";12
64;"Fischer Robert J (USA)";"Black";"Nxc3";14
64;"Fischer Robert J (USA)";"Black";"Be7";16
64;"Fischer Robert J (USA)";"Black";"O-O";18
64;"Fischer Robert J (USA)";"Black";"h6";20
65;"Fischer Robert J (USA)";"Black";"c5";2
65;"Fischer Robert J (USA)";"Black";"g6";4
65;"Fischer Robert J (USA)";"Black";"cxd4";6
65;"Fischer Robert J (USA)";"Black";"Nc6";8
65;"Fischer Robert J (USA)";"Black";"Nf6";10
65;"Fischer Robert J (USA)";"Black";"d6";12
65;"Fischer Robert J (USA)";"Black";"Nxd4";14
65;"Fischer Robert J (USA)";"Black";"Bg7";16
65;"Fischer Robert J (USA)";"Black";"h6";18
65;"Fischer Robert J (USA)";"Black";"O-O";20
66;"Fischer Robert J (USA)";"Black";"g6";2
66;"Fischer Robert J (USA)";"Black";"Bg7";4
66;"Fischer Robert J (USA)";"Black";"Nf6";6
66;"Fischer Robert J (USA)";"Black";"O-O";8
66;"Fischer Robert J (USA)";"Black";"d6";10
66;"Fischer Robert J (USA)";"Black";"e5";12
66;"Fischer Robert J (USA)";"Black";"Nc6";14
66;"Fischer Robert J (USA)";"Black";"Ne7";16
66;"Fischer Robert J (USA)";"Black";"c5";18
66;"Fischer Robert J (USA)";"Black";"Ne8";20
68;"Fischer Robert J (USA)";"Black";"c5";2
68;"Fischer Robert J (USA)";"Black";"d6";4
68;"Fischer Robert J (USA)";"Black";"cxd4";6
68;"Fischer Robert J (USA)";"Black";"Nf6";8
68;"Fischer Robert J (USA)";"Black";"a6";10
68;"Fischer Robert J (USA)";"Black";"e5";12
68;"Fischer Robert J (USA)";"Black";"Be7";14
68;"Fischer Robert J (USA)";"Black";"O-O";16
68;"Fischer Robert J (USA)";"Black";"Be6";18
68;"Fischer Robert J (USA)";"Black";"Nbd7";20
69;"Fischer Robert J (USA)";"Black";"g6";2
69;"Fischer Robert J (USA)";"Black";"Bg7";4
69;"Fischer Robert J (USA)";"Black";"Nf6";6
69;"Fischer Robert J (USA)";"Black";"d5";8
69;"Fischer Robert J (USA)";"Black";"O-O";10
69;"Fischer Robert J (USA)";"Black";"c6";12
69;"Fischer Robert J (USA)";"Black";"Bg4";14
69;"Fischer Robert J (USA)";"Black";"b6";16
69;"Fischer Robert J (USA)";"Black";"dxc4";18
69;"Fischer Robert J (USA)";"Black";"b5";20
70;"Fischer Robert J (USA)";"Black";"c5";2
70;"Fischer Robert J (USA)";"Black";"d6";4
70;"Fischer Robert J (USA)";"Black";"cxd4";6
70;"Fischer Robert J (USA)";"Black";"Nf6";8
70;"Fischer Robert J (USA)";"Black";"a6";10
70;"Fischer Robert J (USA)";"Black";"e5";12
70;"Fischer Robert J (USA)";"Black";"Be7";14
70;"Fischer Robert J (USA)";"Black";"O-O";16
70;"Fischer Robert J (USA)";"Black";"Qc7";18
70;"Fischer Robert J (USA)";"Black";"Be6";20
71;"Fischer Robert J (USA)";"Black";"g6";2
71;"Fischer Robert J (USA)";"Black";"c5";4
71;"Fischer Robert J (USA)";"Black";"Bg7";6
71;"Fischer Robert J (USA)";"Black";"cxd4";8
71;"Fischer Robert J (USA)";"Black";"Nc6";10
71;"Fischer Robert J (USA)";"Black";"d6";12
71;"Fischer Robert J (USA)";"Black";"Nf6";14
71;"Fischer Robert J (USA)";"Black";"O-O";16
71;"Fischer Robert J (USA)";"Black";"Bd7";18
71;"Fischer Robert J (USA)";"Black";"a6";20
73;"Fischer Robert J (USA)";"Black";"Nf6";2
