,game,player,color,move,turn
13343,150,Fischer Robert J (USA),Black,Nh5+,60
13344,151,Portisch Lajos (HUN),White,d4,1
13345,151,Fischer Robert J (USA),Black,Nf6,2
13346,151,Portisch Lajos (HUN),White,c4,3
13347,151,Fischer Robert J (USA),Black,e6,4
13348,151,Portisch Lajos (HUN),White,Nc3,5
13349,151,Fischer Robert J (USA),Black,Bb4,6
13350,151,Portisch Lajos (HUN),White,e3,7
13351,151,Fischer Robert J (USA),Black,b6,8
13352,151,Portisch Lajos (HUN),White,Ne2,9
13353,151,Fischer Robert J (USA),Black,Ba6,10
13354,151,Portisch Lajos (HUN),White,Ng3,11
13355,151,Fischer Robert J (USA),Black,Bxc3+,12
13356,151,Portisch Lajos (HUN),White,bxc3,13
13357,151,Fischer Robert J (USA),Black,d5,14
13358,151,Portisch Lajos (HUN),White,Ba3,15
13359,151,Fischer Robert J (USA),Black,dxc4,16
13360,151,Portisch Lajos (HUN),White,e4,17
13361,151,Fischer Robert J (USA),Black,Qd7,18
13362,151,Portisch Lajos (HUN),White,Be2,19
13363,151,Fischer Robert J (USA),Black,Nc6,20
13364,151,Portisch Lajos (HUN),White,Qc2,21
13365,151,Fischer Robert J (USA),Black,O-O-O,22
13366,151,Portisch Lajos (HUN),White,O-O,23
13367,151,Fischer Robert J (USA),Black,h5,24
13368,151,Portisch Lajos (HUN),White,Rfd1,25
13369,151,Fischer Robert J (USA),Black,h4,26
13370,151,Portisch Lajos (HUN),White,Nf1,27
13371,151,Fischer Robert J (USA),Black,Nh5,28
13372,151,Portisch Lajos (HUN),White,d5,29
13373,151,Fischer Robert J (USA),Black,Ne5,30
13374,151,Portisch Lajos (HUN),White,dxe6,31
13375,151,Fischer Robert J (USA),Black,Qe8,32
13376,151,Portisch Lajos (HUN),White,Rxd8+,33
13377,151,Fischer Robert J (USA),Black,Qxd8,34
13378,151,Portisch Lajos (HUN),White,Bxh5,35
13379,151,Fischer Robert J (USA),Black,Rxh5,36
13380,151,Portisch Lajos (HUN),White,f4,37
13381,151,Fischer Robert J (USA),Black,Nd3,38
13382,151,Portisch Lajos (HUN),White,exf7,39
13383,151,Fischer Robert J (USA),Black,c5,40
13384,151,Portisch Lajos (HUN),White,Qe2,41
13385,151,Fischer Robert J (USA),Black,Rh8,42
13386,151,Portisch Lajos (HUN),White,e5,43
13387,151,Fischer Robert J (USA),Black,Kb8,44
13388,151,Portisch Lajos (HUN),White,e6,45
13389,151,Fischer Robert J (USA),Black,Qf6,46
13390,151,Portisch Lajos (HUN),White,Re1,47
13391,151,Fischer Robert J (USA),Black,Bb5,48
13392,151,Portisch Lajos (HUN),White,Bxc5,49
13393,151,Fischer Robert J (USA),Black,bxc5,50
13394,151,Portisch Lajos (HUN),White,Rb1,51
13395,151,Fischer Robert J (USA),Black,a6,52
13396,151,Portisch Lajos (HUN),White,a4,53
13397,151,Fischer Robert J (USA),Black,Nxf4,54
13398,151,Portisch Lajos (HUN),White,Qf3,55
