"X";"game";"player";"color";"move";"turn"
2264;30;"Waitzkin, Joshua";"White";"exd5";7
2265;30;"Santana, J";"Black";"Nf6";8
2266;30;"Waitzkin, Joshua";"White";"Bb5+";9
2267;30;"Santana, J";"Black";"Bd7";10
2339;31;"Ashley, Maurice";"White";"e4";1
2340;31;"Kacheishvili, Giorgi";"Black";"c6";2
2341;31;"Ashley, Maurice";"White";"c4";3
2342;31;"Kacheishvili, Giorgi";"Black";"d5";4
2343;31;"Ashley, Maurice";"White";"cxd5";5
2344;31;"Kacheishvili, Giorgi";"Black";"cxd5";6
2345;31;"Ashley, Maurice";"White";"exd5";7
2346;31;"Kacheishvili, Giorgi";"Black";"Nf6";8
2347;31;"Ashley, Maurice";"White";"Bb5+";9
2348;31;"Kacheishvili, Giorgi";"Black";"Nbd7";10
2456;32;"Stripunsky, Alexander";"White";"e4";1
2457;32;"Santana, J";"Black";"c6";2
2458;32;"Stripunsky, Alexander";"White";"d4";3
2459;32;"Santana, J";"Black";"d5";4
2460;32;"Stripunsky, Alexander";"White";"exd5";5
2461;32;"Santana, J";"Black";"cxd5";6
2462;32;"Stripunsky, Alexander";"White";"c4";7
2463;32;"Santana, J";"Black";"Nf6";8
2464;32;"Stripunsky, Alexander";"White";"Nc3";9
2465;32;"Santana, J";"Black";"g6";10
2686;34;"Tomescu, Vlad";"White";"e4";1
2687;34;"Khenkin, Igor";"Black";"c6";2
2688;34;"Tomescu, Vlad";"White";"d4";3
2689;34;"Khenkin, Igor";"Black";"d5";4
2690;34;"Tomescu, Vlad";"White";"exd5";5
2691;34;"Khenkin, Igor";"Black";"cxd5";6
2692;34;"Tomescu, Vlad";"White";"c4";7
2693;34;"Khenkin, Igor";"Black";"Nf6";8
2694;34;"Tomescu, Vlad";"White";"Nc3";9
2695;34;"Khenkin, Igor";"Black";"e6";10
2750;35;"Dancevski, Orce";"White";"e4";1
2751;35;"Kocovski, Ivan";"Black";"c6";2
2752;35;"Dancevski, Orce";"White";"d4";3
2753;35;"Kocovski, Ivan";"Black";"d5";4
2754;35;"Dancevski, Orce";"White";"exd5";5
2755;35;"Kocovski, Ivan";"Black";"cxd5";6
2756;35;"Dancevski, Orce";"White";"c4";7
2757;35;"Kocovski, Ivan";"Black";"Nf6";8
2758;35;"Dancevski, Orce";"White";"Nc3";9
2759;35;"Kocovski, Ivan";"Black";"e6";10
2817;37;"Oral, Tomas";"White";"e4";1
2818;37;"Zenklusen, Rico";"Black";"c6";2
2819;37;"Oral, Tomas";"White";"d4";3
2820;37;"Zenklusen, Rico";"Black";"d5";4
2821;37;"Oral, Tomas";"White";"exd5";5
2822;37;"Zenklusen, Rico";"Black";"cxd5";6
2823;37;"Oral, Tomas";"White";"c4";7
2824;37;"Zenklusen, Rico";"Black";"Nf6";8
2825;37;"Oral, Tomas";"White";"Nc3";9
2826;37;"Zenklusen, Rico";"Black";"e6";10
2874;38;"Bologan, Viktor";"White";"e4";1
2875;38;"Velicka, Petr";"Black";"c6";2
2876;38;"Bologan, Viktor";"White";"d4";3
2877;38;"Velicka, Petr";"Black";"d5";4
2878;38;"Bologan, Viktor";"White";"exd5";5
2879;38;"Velicka, Petr";"Black";"cxd5";6
2880;38;"Bologan, Viktor";"White";"c4";7
2881;38;"Velicka, Petr";"Black";"Nf6";8
2882;38;"Bologan, Viktor";"White";"Nc3";9
2883;38;"Velicka, Petr";"Black";"Nc6";10
3002;39;"Emms, John M";"White";"e4";1
3003;39;"Speelman, Jonathan S";"Black";"c6";2
3004;39;"Emms, John M";"White";"d4";3
3005;39;"Speelman, Jonathan S";"Black";"d5";4
3006;39;"Emms, John M";"White";"exd5";5
3007;39;"Speelman, Jonathan S";"Black";"cxd5";6
3008;39;"Emms, John M";"White";"c4";7
3009;39;"Speelman, Jonathan S";"Black";"Nf6";8
3010;39;"Emms, John M";"White";"Nc3";9
3011;39;"Speelman, Jonathan S";"Black";"e6";10
3036;40;"Ekstroem, Roland";"White";"e4";1
3037;40;"Krizsany, Laszlo";"Black";"c6";2
3038;40;"Ekstroem, Roland";"White";"d4";3
3039;40;"Krizsany, Laszlo";"Black";"d5";4
3040;40;"Ekstroem, Roland";"White";"exd5";5
3041;40;"Krizsany, Laszlo";"Black";"cxd5";6
3042;40;"Ekstroem, Roland";"White";"c4";7
3043;40;"Krizsany, Laszlo";"Black";"Nf6";8
3044;40;"Ekstroem, Roland";"White";"Nc3";9
3045;40;"Krizsany, Laszlo";"Black";"Nc6";10
3093;41;"Brynell, Stellan";"White";"e4";1
3094;41;"Stefansson, Hannes H";"Black";"c6";2
3095;41;"Brynell, Stellan";"White";"d4";3
3096;41;"Stefansson, Hannes H";"Black";"d5";4
3097;41;"Brynell, Stellan";"White";"exd5";5
