"X";"game";"player";"color";"move";"turn"
1230;20;"Eisenberg, L";"Black";"Bc5";6
1231;20;"Mortimer, James";"White";"O-O";7
1232;20;"Eisenberg, L";"Black";"Nf6";8
1233;20;"Mortimer, James";"White";"d3";9
1234;20;"Eisenberg, L";"Black";"d6";10
1331;25;"Albin, Adolf";"White";"e4";1
1332;25;"Schlechter, Carl";"Black";"e5";2
1333;25;"Albin, Adolf";"White";"Nf3";3
1334;25;"Schlechter, Carl";"Black";"Nc6";4
1335;25;"Albin, Adolf";"White";"Bc4";5
1336;25;"Schlechter, Carl";"Black";"Bc5";6
1337;25;"Albin, Adolf";"White";"d3";7
1338;25;"Schlechter, Carl";"Black";"Nf6";8
1339;25;"Albin, Adolf";"White";"c3";9
1340;25;"Schlechter, Carl";"Black";"d6";10
1458;26;"De Soyres, John";"White";"e4";1
1459;26;"Esser, Johannes F";"Black";"e5";2
1460;26;"De Soyres, John";"White";"Nf3";3
1461;26;"Esser, Johannes F";"Black";"Nc6";4
1462;26;"De Soyres, John";"White";"Bc4";5
1463;26;"Esser, Johannes F";"Black";"Bc5";6
1464;26;"De Soyres, John";"White";"c3";7
1465;26;"Esser, Johannes F";"Black";"Nf6";8
1466;26;"De Soyres, John";"White";"O-O";9
1467;26;"Esser, Johannes F";"Black";"O-O";10
1517;27;"Leonhardt, Paul S";"White";"e4";1
1518;27;"Schwan, Wilhelm";"Black";"e5";2
1519;27;"Leonhardt, Paul S";"White";"Nf3";3
1520;27;"Schwan, Wilhelm";"Black";"Nc6";4
1521;27;"Leonhardt, Paul S";"White";"Bc4";5
1522;27;"Schwan, Wilhelm";"Black";"Bc5";6
1523;27;"Leonhardt, Paul S";"White";"c3";7
1524;27;"Schwan, Wilhelm";"Black";"Nf6";8
1525;27;"Leonhardt, Paul S";"White";"d4";9
1526;27;"Schwan, Wilhelm";"Black";"exd4";10
1566;28;"Neumann, Augustin";"White";"e4";1
1567;28;"Meiners, W";"Black";"e5";2
1568;28;"Neumann, Augustin";"White";"Nf3";3
1569;28;"Meiners, W";"Black";"Nc6";4
1570;28;"Neumann, Augustin";"White";"Bc4";5
1571;28;"Meiners, W";"Black";"Bc5";6
1572;28;"Neumann, Augustin";"White";"O-O";7
1573;28;"Meiners, W";"Black";"Nf6";8
1574;28;"Neumann, Augustin";"White";"c3";9
1575;28;"Meiners, W";"Black";"d6";10
1617;29;"Mason, James";"White";"e4";1
1618;29;"Reggio, Arturo";"Black";"e5";2
1619;29;"Mason, James";"White";"Nf3";3
1620;29;"Reggio, Arturo";"Black";"Nc6";4
1621;29;"Mason, James";"White";"Bc4";5
1622;29;"Reggio, Arturo";"Black";"Bc5";6
1623;29;"Mason, James";"White";"c3";7
1624;29;"Reggio, Arturo";"Black";"Nf6";8
1625;29;"Mason, James";"White";"d4";9
1626;29;"Reggio, Arturo";"Black";"exd4";10
1758;30;"Wolf, Heinrich";"White";"e4";1
1759;30;"Taubenhaus, Jean";"Black";"e5";2
1760;30;"Wolf, Heinrich";"White";"Nf3";3
1761;30;"Taubenhaus, Jean";"Black";"Nc6";4
1762;30;"Wolf, Heinrich";"White";"Bc4";5
1763;30;"Taubenhaus, Jean";"Black";"Bc5";6
1764;30;"Wolf, Heinrich";"White";"c3";7
1765;30;"Taubenhaus, Jean";"Black";"Nf6";8
1766;30;"Wolf, Heinrich";"White";"d4";9
1767;30;"Taubenhaus, Jean";"Black";"exd4";10
1811;31;"Englund, Fritz C A";"White";"e4";1
